27.219.143.109,1838144283,10.128.0.2,33587210,49073,56,udp,1,5683.0,50606.0,1524.0,"</>;title=""General Info"";ct=0,</qlink/searchdevice>;title=""searchdevice"";obs,</qlink/netinfo>;title=""netinfo"";obs,</qlink/searchack>;title=""searchack"";obs,</device/command/unbind>;title=""unbind"";obs,</device/command/file>;title=""file"";obs,</aoslink/Discovery>;title=""discovery"";obs,</device/command/log>;title=""log"";obs,</device/command/selfdetect>;title=""selfdetect"";obs,</qlink/searchdevice?true>;title=""searchdevice?true"";obs,</qlink/searchRouter?true>;title=""searchRouter?true"";obs,</qlink/guide?true>;title=""guide?true"";obs,</qlink/request?true>;title=""request?true"";obs,</device/inform/data>;title=""data"";obs,</qlink/regist?true>;title=""regist?true"";obs,</qlink/success?true>;title=""success?true"";obs,</apdevice/control/WiFiParameterSync>;title=""WiFiParameterSync"";obs,</apdevice/control/WiFiSwitch>;title=""WiFiSwitch"";obs,</apdevice/control/RadioConfig>;title=""RadioConfig"";obs,</apdevice/control/WPS>;title=""WPS"";obs,</apdevice/control/MacFilter>;title=""MacFilter"";obs,</apdevice/control/Reboot>;title=""Reboot"";obs,</apdevice/control/LEDControl>;title=""LEDControl"";obs,</apdevice/control/RoamingConfig>;title=""RoamingConfig"";obs,</apdevice/query/ApConfigInfo>;title=""ApConfigInfo"";obs,</apdevice/query/UplinkStatus>;title=""UplinkStatus"";obs,</apdevice/query/STAInfo>;title=""STAInfo"";obs,</apdevice/query/WiFiStats>;title=""WiFiStats"";obs,</apdevice/query/WiFiStatus>;title=""WiFiStatus"";obs,</apdevice/query/WlanNeighborInfo>;title=""WlanNeighborInfo"";obs,</aoslink/query/AosAPInfo>;title=""AosAPInfo"";obs",,,,,0,0,2026-01-10T15:59:35.873+0000,1768060775,873412,False,1.0,2.0,a902,2.0,2.05 Content,64813.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,1509.0,/.well-known/core
31.40.89.62,1046030367,10.128.0.2,33587210,7510,46,udp,1,5683.0,34896.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:36.275+0000,1768060776,275216,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
31.132.214.206,3470165023,10.128.0.2,33587210,46995,60,udp,1,5683.0,47636.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:36.295+0000,1768060776,295512,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
4.255.249.179,3019505412,10.128.0.2,33587210,46260,54,udp,1,5683.0,49190.0,117.0,"</api>,</api/v1>;obs,</efento>;obs,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</fw>;obs,</sw>;obs",,,,,0,0,2026-01-10T15:59:36.564+0000,1768060776,564040,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,102.0,/.well-known/core
1.29.48.71,1194335489,10.128.0.2,33587210,22946,56,icmp,0,,,,,1.29.48.71,3.0,3.0,port unreachable,0,0,2026-01-10T15:59:36.773+0000,1768060776,773991,,,,,,,,,,,
31.202.112.188,3161508383,10.128.0.2,33587210,64494,50,udp,1,5683.0,50172.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:37.490+0000,1768060777,490675,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
14.136.58.176,2956625934,10.128.0.2,33587210,59844,59,udp,1,5683.0,59880.0,1340.0,"</>;title=""General Info"";ct=0,</qlink/searchdevice>;title=""searchdevice"";obs,</qlink/netinfo>;title=""netinfo"";obs,</qlink/searchack>;title=""searchack"";obs,</device/command/unbind>;title=""unbind"";obs,</device/command/file>;title=""file"";obs,</device/command/log>;title=""log"";obs,</device/command/selfdetect>;title=""selfdetect"";obs,</qlink/searchdevice?true>;title=""searchdevice?true"";obs,</qlink/searchRouter?true>;title=""searchRouter?true"";obs,</qlink/guide?true>;title=""guide?true"";obs,</qlink/request?true>;title=""request?true"";obs,</device/inform/data>;title=""data"";obs,</apdevice/control/WiFiParameterSync>;title=""WiFiParameterSync"";obs,</apdevice/control/WiFiSwitch>;title=""WiFiSwitch"";obs,</apdevice/control/RadioConfig>;title=""RadioConfig"";obs,</apdevice/control/WPS>;title=""WPS"";obs,</apdevice/control/MacFilter>;title=""MacFilter"";obs,</apdevice/control/Reboot>;title=""Reboot"";obs,</apdevice/control/LEDControl>;title=""LEDControl"";obs,</apdevice/control/RoamingConfig>;title=""RoamingConfig"";obs,</apdevice/query/ApConfigInfo>;title=""ApConfigInfo"";obs,</apdevice/query/UplinkStatus>;title=""UplinkStatus"";obs,</apdevice/query/STAInfo>;title=""STAInfo"";obs,</apdevice/query/WiFiStats>;title=""WiFiStats"";obs,</apdevice/query/WiFiStatus>;title=""WiFiStatus"";obs,</apdevice/query/WlanNeighborInfo>;title=""WlanNeighborInfo"";obs",,,,,0,0,2026-01-10T15:59:37.508+0000,1768060777,508288,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,1325.0,/.well-known/core
27.45.157.162,2728209691,10.128.0.2,33587210,30551,56,udp,1,5683.0,56715.0,558.0,"</qlink/searchack>,</qlink/netinfo>,</apdevice/control/WiFiParameterSync>,</apdevice/control/WiFiSwitch>,</apdevice/control/RadioConfig>,</apdevice/control/WPS>,</apdevice/control/MacFilter>,</apdevice/control/Reboot>,</apdevice/searchap>,</apdevice/control/LEDControl>,</device/command/file>,</apdevice/control/RoamingConfig>,</device/command/unbind>,</qlink/addgw>,</qlink/searchdevice>,</device/inform/data>,</apdevice/query/ApConfigInfo>,</apdevice/query/UplinkStatus>,</apdevice/query/STAInfo>,</apdevice/query/WiFiStats>,</qlink/querygw>",,,,,0,0,2026-01-10T15:59:37.582+0000,1768060777,582814,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,543.0,/.well-known/core
5.68.73.159,2672378885,10.128.0.2,33587210,44556,61,icmp,0,,,,,5.68.73.159,3.0,1.0,host unreachable,0,0,2026-01-10T15:59:37.984+0000,1768060777,984302,,,,,,,,,,,
18.159.197.156,2630197010,10.128.0.2,33587210,40394,57,udp,1,5683.0,52981.0,93.0,"</c>,</t>,</i>;title=""DeviceInfo"",</m>;title=""Measurement"",</.well-known/core>",,,,,0,0,2026-01-10T15:59:38.664+0000,1768060778,664209,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,78.0,/.well-known/core
