saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token,token_length,code,mid,options,data_length,observable,uri
162.208.167.210,3534213282,192.168.0.123,2063640768,7672,42,udp,1,5683,38033,12,,,,,,0,1,2025-10-31T16:49:38.640+0100,1761925778,640295,3,False,1,2,,0,EMPTY,32112,,0,/async
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,56628,12,,,,,,0,1,2025-10-31T16:49:38.658+0100,1761925778,658819,3,False,1,2,,0,EMPTY,32112,,0,/async
183.234.34.85,1428351671,192.168.0.123,2063640768,58592,42,udp,1,5683,38029,12,,,,,,0,1,2025-10-31T16:49:52.951+0100,1761925792,951005,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/qlink
183.221.127.78,1317002679,192.168.0.123,2063640768,21987,39,udp,1,5683,58026,12,,,,,,0,1,2025-10-31T16:49:54.192+0100,1761925794,192408,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/qlink
183.221.127.78,1317002679,192.168.0.123,2063640768,22284,39,udp,1,5683,35425,12,,,,,,0,1,2025-10-31T16:50:07.696+0100,1761925807,696372,3,False,1,3,,0,EMPTY,32112,,0,/qlink/ack
183.221.127.78,1317002679,192.168.0.123,2063640768,23486,39,udp,1,5683,44019,233,"{""gatewayMac"":""688B0F5AA890"",""firmwareVersion"":""CIOT;GM620"",""type"":1,""gatewayManufacturer"":""CIOT"",""softwareVersion"":""V1A0.A04.01;1.0;2.6.1-230712"",""gatewaySn"":""CIOT105AA890"",""andlinkVersion"":""2.6.0"",""provinceAbb"":""SCH""}",,,,,0,1,2025-10-31T16:50:21.448+0100,1761925821,448444,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",219,/qlink/queryGwExt
183.221.127.78,1317002679,192.168.0.123,2063640768,24606,39,udp,1,5683,59614,12,,,,,,0,1,2025-10-31T16:50:35.242+0100,1761925835,242167,3,False,1,3,,0,EMPTY,32112,,0,/qlink/wlantest
183.221.127.78,1317002679,192.168.0.123,2063640768,24673,39,udp,1,5683,47169,12,,,,,,0,1,2025-10-31T16:50:49.373+0100,1761925849,373695,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/gw
183.221.127.78,1317002679,192.168.0.123,2063640768,25265,39,udp,1,5683,52078,12,,,,,,0,1,2025-10-31T16:51:03.607+0100,1761925863,607340,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/gw/query
183.221.127.78,1317002679,192.168.0.123,2063640768,25660,39,udp,1,5683,49449,52,"090_688B0F5AA890{""apmsOnlineStatus"":0}",,,,,0,1,2025-10-31T16:51:17.536+0100,1761925877,536062,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",38,/gw/query/DiagnotorConnection
183.221.127.78,1317002679,192.168.0.123,2063640768,26431,39,udp,1,5683,57962,30,"{""APDevices"":[]}",,,,,0,1,2025-10-31T16:51:31.767+0100,1761925891,767468,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",16,/gw/query/apdevices
183.221.127.78,1317002679,192.168.0.123,2063640768,27198,39,udp,1,5683,55945,26,"""respCode"":1",,,,,0,1,2025-10-31T16:51:45.796+0100,1761925905,796535,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",12,/gw/query/config
183.221.127.78,1317002679,192.168.0.123,2063640768,27509,39,udp,1,5683,51883,12,,,,,,0,1,2025-10-31T16:51:59.927+0100,1761925919,927874,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/basic
183.221.127.78,1317002679,192.168.0.123,2063640768,27539,39,udp,1,5683,54207,94,"should post example:{""ClientId"":""1391234567"",""ClientType"":0,""password"":""123456""}",,,,,0,1,2025-10-31T16:52:13.924+0100,1761925933,924577,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",80,/basic/regist
183.221.127.78,1317002679,192.168.0.123,2063640768,28725,39,udp,1,5683,57862,68,"userIp:null
SUCCESS_RESP:
userDevices:
toLinkDevices:
",,,,,0,1,2025-10-31T16:52:28.088+0100,1761925948,88000,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",54,/basic/show
183.234.34.85,1428351671,192.168.0.123,2063640768,8618,42,udp,1,5683,45702,12,,,,,,0,1,2025-10-31T16:52:42.110+0100,1761925962,110620,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/device
183.221.127.78,1317002679,192.168.0.123,2063640768,29236,39,udp,1,5683,46986,12,,,,,,0,1,2025-10-31T16:52:42.122+0100,1761925962,122187,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/device
183.221.127.78,1317002679,192.168.0.123,2063640768,30176,39,udp,1,5683,34940,12,,,,,,0,1,2025-10-31T16:52:56.226+0100,1761925976,226471,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/device/command
183.221.127.78,1317002679,192.168.0.123,2063640768,31291,39,udp,1,5683,51266,28,"{""respCode"":1}",,,,,0,1,2025-10-31T16:53:10.345+0100,1761925990,345798,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",14,/device/command/control
183.221.127.78,1317002679,192.168.0.123,2063640768,32065,39,udp,1,5683,37380,16,[],,,,,0,1,2025-10-31T16:53:24.571+0100,1761926004,571718,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",2,/device/command/data
183.234.34.85,1428351671,192.168.0.123,2063640768,12119,42,udp,1,5683,55517,12,,,,,,0,1,2025-10-31T16:53:38.540+0100,1761926018,540531,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/device/inform
183.221.127.78,1317002679,192.168.0.123,2063640768,32317,39,udp,1,5683,57307,12,,,,,,0,1,2025-10-31T16:53:38.574+0100,1761926018,574475,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/device/inform
183.221.127.78,1317002679,192.168.0.123,2063640768,33573,39,udp,1,5683,48528,28,"{""respCode"":1}",,,,,0,1,2025-10-31T16:53:52.876+0100,1761926032,876493,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",14,/device/inform/requestSync
