saddr,uri,version,mtype,token_size,code,mid,token,options,payload,payload_size
111.22.27.145,/ekit/searchgw,1,ACK,2,4.00 Bad Request,454,0751,{'CONTENT_FORMAT': 'TEXT'},not soupport GET,16
111.22.27.145,/.well-known/core,1,ACK,2,2.05 Content,46585,ab03,{'CONTENT_FORMAT': 'LINKFORMAT'},"</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",270
112.44.162.172,/qlink,1,ACK,2,4.05 Method Not Allowed,17448,d8e5,,,0
112.44.162.172,/qlink/ack,,,,,,,,Network error: MessageError,
112.44.162.172,/qlink/queryGwExt,1,ACK,2,2.05 Content,9917,2bc0,{'CONTENT_FORMAT': 'TEXT'},"{""gatewayMac"":""6458ADFD0450"",""firmwareVersion"":""CIOT;GM220-S"",""type"":1,""gatewayManufacturer"":""CIOT"",""softwareVersion"":""V1A0.A04.01;1.0;2.6.1-230712"",""gatewaySn"":""CIOT09FD0450"",""andlinkVersion"":""2.6.0"",""provinceAbb"":""SCH""}",221
112.44.162.172,/qlink/request,1,ACK,2,2.05 Content,6369,86ef,{'CONTENT_FORMAT': 'TEXT'},"should post example,should post example should post exampleshould post exampleshould post exampleshould post examplepost exampleshould post exampleshould post example::{""deviceId"":""50294D0120011"",""deviceType"":""111"",""ipAddress"":""192.168.1.15""}",242
112.44.162.172,/qlink/searchgw,1,ACK,2,2.05 Content,63532,9736,{'CONTENT_FORMAT': 'TEXT'},"{""result"":1}",12
112.44.162.172,/qlink/success,1,ACK,2,2.05 Content,2674,64d8,{'CONTENT_FORMAT': 'TEXT'},,0
112.44.162.172,/qlink/wlantest,,,,,,,,Network error: MessageError,
112.44.162.172,/gw,1,ACK,2,4.05 Method Not Allowed,42380,57eb,,,0
112.44.162.172,/gw/query,1,ACK,2,4.05 Method Not Allowed,52410,d7cf,,,0
112.44.162.172,/gw/query/DiagnotorConnection,1,ACK,2,2.05 Content,42322,2fe1,{'CONTENT_FORMAT': 'TEXT'},"090_6458ADFD0450{""apmsOnlineStatus"":0}",38
112.44.162.172,/gw/query/apdevices,1,ACK,2,2.05 Content,43856,d868,{'CONTENT_FORMAT': 'TEXT'},"{""APDevices"":[]}",16
112.44.162.172,/gw/query/config,1,ACK,2,2.05 Content,1472,d661,{'CONTENT_FORMAT': 'TEXT'},"""respCode"":1",12
